,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,repeat,time,tol,workers
0,stop_on_plateau,0.04674143244546656,9,7,15.342753274100167,7,25,0,1.3424909114837646,0.1,8
1,hyperband,0.048200454988058895,9,17,3.705018914264181,69,25,0,3.1955788135528564,0.1,8
2,stop_on_plateau,0.056203225634148174,27,13,31.274129427396332,13,25,0,5.082046031951904,0.1,8
3,hyperband,0.05024958295446257,27,49,1.6146207323261335,357,25,0,7.205245018005371,0.1,8
4,stop_on_plateau,0.04873154393806202,81,19,29.561258617200348,19,25,0,7.020798921585083,0.1,8
5,hyperband,0.1317924992484093,81,143,1.3377171419301717,1581,25,0,26.43663501739502,0.1,8
6,stop_on_plateau,0.07685502748451957,243,19,30.402193571391855,19,25,0,7.220520973205566,0.1,8
7,hyperband,0.3737033499085559,243,143,1.2594451638884667,4743,25,0,74.66935515403748,0.1,8
8,stop_on_plateau,0.04927020839675147,9,7,26.716978890555243,7,25,0,1.168867826461792,0.1,16
9,hyperband,0.04707295189824956,9,17,6.659249015476393,69,25,0,2.8718011379241943,0.1,16
10,stop_on_plateau,0.06600465116830942,27,13,37.19823983999399,13,25,0,3.0223569869995117,0.1,16
11,hyperband,0.05255309458246478,27,49,2.512941974885657,357,25,0,5.607001781463623,0.1,16
12,stop_on_plateau,0.05652819754371355,81,19,36.64164894505551,19,25,0,4.351195812225342,0.1,16
13,hyperband,0.11043269252617907,81,143,1.656338416044656,1581,25,0,16.36669397354126,0.1,16
14,stop_on_plateau,0.06632546993056894,243,19,35.57669187846936,19,25,0,4.224732160568237,0.1,16
15,hyperband,0.2696116771347254,243,143,1.4955647384318624,4743,25,0,44.334147214889526,0.1,16
16,stop_on_plateau,0.05182185167783768,9,7,40.79358509608677,7,25,0,1.1898128986358643,0.1,24
17,hyperband,0.05501450785725857,9,17,9.651495892068613,69,25,0,2.7748050689697266,0.1,24
18,stop_on_plateau,0.07248777597119298,27,13,55.00670946561373,13,25,0,2.979530096054077,0.1,24
19,hyperband,0.06410338079320804,27,49,3.377402489926635,357,25,0,5.023886203765869,0.1,24
20,stop_on_plateau,0.060121549625544106,81,19,39.594262775621914,19,25,0,3.1345458030700684,0.1,24
21,hyperband,0.1478132441709918,81,143,1.9294219406098971,1581,25,0,12.7100670337677,0.1,24
22,stop_on_plateau,0.07933161825831637,243,19,38.77675106650904,19,25,0,3.069826126098633,0.1,24
23,hyperband,0.25943276474943766,243,143,1.810946081500503,4743,25,0,35.78882193565369,0.1,24
24,stop_on_plateau,0.046992075008907105,9,7,54.41188267299107,7,25,0,1.1902599334716797,0.1,32
25,hyperband,0.052040354885473886,9,17,12.463235164034193,69,25,0,2.687385082244873,0.1,32
26,stop_on_plateau,0.06687226790363093,27,13,74.47811420147235,13,25,0,3.0256733894348145,0.1,32
27,hyperband,0.07859871861890755,27,49,4.243521810579701,357,25,0,4.7341790199279785,0.1,32
28,stop_on_plateau,0.06957977530401749,81,19,50.3786910207648,19,25,0,2.99123477935791,0.1,32
29,hyperband,0.12297790403301395,81,143,2.448043340674538,1581,25,0,12.094864130020142,0.1,32
30,stop_on_plateau,0.06661804090554489,243,19,51.46913628829152,19,25,0,3.0559799671173096,0.1,32
31,hyperband,0.26177432852376864,243,143,2.196537623444665,4743,25,0,32.5568060874939,0.1,32
32,stop_on_plateau,0.053578352319870355,9,7,67.04943520682198,7,25,0,1.1733651161193848,0.1,40
33,hyperband,0.04822234168024677,9,17,14.897263568380604,69,25,0,2.5697779655456543,0.1,40
34,stop_on_plateau,0.054866544597643944,27,13,95.2095471895658,13,25,0,3.0943102836608887,0.1,40
35,hyperband,0.05428392872423487,27,49,5.259141467866443,357,25,0,4.693783760070801,0.1,40
36,stop_on_plateau,0.07502243238189697,81,19,65.39380926834909,19,25,0,3.106205940246582,0.1,40
37,hyperband,0.12386958000456429,81,143,2.9723314602566546,1581,25,0,11.748140096664429,0.1,40
38,stop_on_plateau,0.05597268197021826,243,19,63.29673967863384,19,25,0,3.0065951347351074,0.1,40
39,hyperband,0.28990911265458297,243,143,2.6407428213043502,4743,25,0,31.312608003616333,0.1,40
40,stop_on_plateau,0.043385480513885806,9,7,81.30670819963727,7,25,0,1.185722827911377,0.1,48
41,hyperband,0.0460164459336938,9,17,18.98467520008916,69,25,0,2.7290470600128174,0.1,48
42,stop_on_plateau,0.07357131684970987,27,13,112.19065739558293,13,25,0,3.038496971130371,0.1,48
43,hyperband,0.05073658272835102,27,49,6.561001689494157,357,25,0,4.879745006561279,0.1,48
44,stop_on_plateau,0.07432470548190045,81,19,77.41569719816508,19,25,0,3.064371347427368,0.1,48
45,hyperband,0.08746589496766298,81,143,3.4331351032293265,1581,25,0,11.307888746261597,0.1,48
46,stop_on_plateau,0.04963867820744754,243,19,75.59926685534025,19,25,0,2.9924709796905518,0.1,48
47,hyperband,0.43862164261614767,243,143,3.102455066775009,4743,25,0,30.656134128570557,0.1,48
48,stop_on_plateau,0.048887224134016825,9,7,94.19792175292969,7,25,0,1.177474021911621,0.1,56
49,hyperband,0.04283262454011066,9,17,20.627340786698934,69,25,0,2.5415830612182617,0.1,56
50,stop_on_plateau,0.07000772079482895,27,13,127.31117101816031,13,25,0,2.9554378986358643,0.1,56
51,hyperband,0.059909667651412216,27,49,7.571683397480085,357,25,0,4.826948165893555,0.1,56
52,stop_on_plateau,0.06324287903594357,81,19,90.16964862221164,19,25,0,3.0593273639678955,0.1,56
53,hyperband,0.11839645774302765,81,143,4.012108186918447,1581,25,0,11.327041149139404,0.1,56
54,stop_on_plateau,0.0627639013970777,243,19,89.08986844514544,19,25,0,3.0226919651031494,0.1,56
55,hyperband,0.3002884580721919,243,143,3.57039527402456,4743,25,0,30.239972829818726,0.1,56
56,stop_on_plateau,0.047756470802261884,9,7,106.91968645368303,7,25,0,1.1694340705871582,0.1,64
57,hyperband,0.03549308180137533,9,17,25.058569424394246,69,25,0,2.701627016067505,0.1,64
58,stop_on_plateau,0.05328105191006226,27,13,145.12974665715143,13,25,0,2.9479479789733887,0.1,64
59,hyperband,0.05179223479196367,27,49,9.789691145012691,357,25,0,5.460812091827393,0.1,64
60,stop_on_plateau,0.05163937260517899,81,19,102.83256932308798,19,25,0,3.052841901779175,0.1,64
61,hyperband,0.09049767873783865,81,143,4.556838439130692,1581,25,0,11.256814956665039,0.1,64
62,stop_on_plateau,0.04745802602494492,243,19,100.44085853978207,19,25,0,2.9818379878997803,0.1,64
63,hyperband,0.22662711888243342,243,143,4.00954116026661,4743,25,0,29.71445894241333,0.1,64
64,stop_on_plateau,0.0496268785765768,9,7,13.812264033726283,7,25,1,1.2085731029510498,0.1,8
65,hyperband,0.049352774700580845,9,17,3.4793820588485054,69,25,1,3.000967025756836,0.1,8
66,stop_on_plateau,0.05669113698881589,27,13,31.32878670325646,13,25,1,5.090927839279175,0.1,8
67,hyperband,0.06639603913815577,27,49,1.6147738010609516,357,25,1,7.205928087234497,0.1,8
68,stop_on_plateau,0.0591332204759234,81,19,29.24344313772101,19,25,1,6.94531774520874,0.1,8
69,hyperband,0.14671610560575649,81,143,1.3588546424783685,1581,25,1,26.85436487197876,0.1,8
70,stop_on_plateau,0.061164704634450555,243,19,31.21088429501182,19,25,1,7.412585020065308,0.1,8
71,hyperband,0.26691738819353944,243,143,1.2192067953194592,4743,25,1,72.28372287750244,0.1,8
72,stop_on_plateau,0.04387734958864334,9,7,26.99730464390346,7,25,1,1.1811320781707764,0.1,16
73,hyperband,0.0507349121606164,9,17,5.932222449261209,69,25,1,2.5582709312438965,0.1,16
74,stop_on_plateau,0.05431936962305489,27,13,38.83710714486929,13,25,1,3.15551495552063,0.1,16
75,hyperband,0.0706061987810997,27,49,2.3681218550652683,357,25,1,5.28387188911438,0.1,16
76,stop_on_plateau,0.057383135605901324,81,19,33.134341992829974,19,25,1,3.9347031116485596,0.1,16
77,hyperband,0.10957858999605995,81,143,1.5909690784548445,1581,25,1,15.720763206481934,0.1,16
78,stop_on_plateau,0.058770501966009706,243,19,34.1492381848787,19,25,1,4.055222034454346,0.1,16
79,hyperband,0.3085890964010619,243,143,1.4863489590539676,4743,25,1,44.060956954956055,0.1,16
80,stop_on_plateau,0.051942819315458626,9,7,41.74432754516601,7,25,1,1.2175428867340088,0.1,24
81,hyperband,0.04558702895467643,9,17,9.053742781929346,69,25,1,2.6029510498046875,0.1,24
82,stop_on_plateau,0.0678044575189049,27,13,56.97897544273963,13,25,1,3.0863611698150635,0.1,24
83,hyperband,0.053477791890827915,27,49,3.608211068546071,357,25,1,5.36721396446228,0.1,24
84,stop_on_plateau,0.06965844623745061,81,19,41.40432357788085,19,25,1,3.2778422832489014,0.1,24
85,hyperband,0.08865455782309048,81,143,2.10283601532851,1581,25,1,13.852432250976562,0.1,24
86,stop_on_plateau,0.047069714752926164,243,19,42.74906760767886,19,25,1,3.38430118560791,0.1,24
87,hyperband,0.4627635773980316,243,143,1.862567959519446,4743,25,1,36.80899930000305,0.1,24
88,stop_on_plateau,0.05116246444001753,9,7,56.59579685756138,7,25,1,1.2380330562591553,0.1,32
89,hyperband,0.04470510462407798,9,17,12.44924241218014,69,25,1,2.6843678951263428,0.1,32
90,stop_on_plateau,0.08039873463987232,27,13,76.68681804950421,13,25,1,3.1154019832611084,0.1,32
91,hyperband,0.049370437284838184,27,49,4.336074487167914,357,25,1,4.837433099746704,0.1,32
92,stop_on_plateau,0.05301099038062172,81,19,52.57526196931538,19,25,1,3.1216561794281006,0.1,32
93,hyperband,0.09084571290688812,81,143,2.610703093729616,1581,25,1,12.898504972457886,0.1,32
94,stop_on_plateau,0.052288857202041704,243,19,52.477023476048515,19,25,1,3.115823268890381,0.1,32
95,hyperband,0.2583655931696184,243,143,2.3245685632887856,4743,25,1,34.45446467399597,0.1,32
96,stop_on_plateau,0.04455522014158577,9,7,68.99783270699636,7,25,1,1.2074620723724365,0.1,40
97,hyperband,0.05608046002751027,9,17,15.252261230911033,69,25,1,2.6310150623321533,0.1,40
98,stop_on_plateau,0.05629372232611095,27,13,95.2189225416917,13,25,1,3.0946149826049805,0.1,40
99,hyperband,0.0701483176676572,27,49,5.647363582579027,357,25,1,5.040271997451782,0.1,40
100,stop_on_plateau,0.06574479184636282,81,19,68.42240283363743,19,25,1,3.2500641345977783,0.1,40
101,hyperband,0.1192424246523005,81,143,3.056137113914996,1581,25,1,12.079381942749023,0.1,40
102,stop_on_plateau,0.06560829866620765,243,19,65.4966956690738,19,25,1,3.111093044281006,0.1,40
103,hyperband,0.2694194112882661,243,143,2.7698963421848335,4743,25,1,32.844045877456665,0.1,40
104,stop_on_plateau,0.05666942445713024,9,7,83.29124450683592,7,25,1,1.2146639823913574,0.1,48
105,hyperband,0.051493498117680746,9,17,21.15883868673573,69,25,1,3.0415830612182617,0.1,48
106,stop_on_plateau,0.07094322690915195,27,13,114.98662508451021,13,25,1,3.1142210960388184,0.1,48
107,hyperband,0.07742105813956948,27,49,6.41149408677045,357,25,1,4.7685487270355225,0.1,48
108,stop_on_plateau,0.0631016861415584,81,19,79.78079946417556,19,25,1,3.157989978790283,0.1,48
109,hyperband,0.06270411670450973,81,143,3.526855917537913,1581,25,1,11.616581678390503,0.1,48
110,stop_on_plateau,0.050536847239879584,9,7,14.446618216378347,7,25,0,1.2640790939331055,0.1,8
111,hyperband,0.04678290935134503,9,17,3.42422264209692,69,25,0,2.9533920288085938,0.1,8
112,stop_on_plateau,0.05388526717457195,27,13,32.47319294856145,13,25,0,5.276893854141235,0.1,8
113,hyperband,0.07467366011435025,27,49,1.6835655084177223,357,25,0,7.512911081314087,0.1,8
114,stop_on_plateau,0.07148439586253096,81,19,29.481031518233447,19,25,0,7.001744985580444,0.1,8
115,hyperband,0.13360680563128097,81,143,1.3839623597812831,1581,25,0,27.350556135177612,0.1,8
116,stop_on_plateau,0.06302676037781428,243,19,29.55955003437243,19,25,0,7.020393133163452,0.1,8
117,hyperband,0.2873253485905362,243,143,1.2387370882269553,4743,25,0,73.44162511825562,0.1,8
118,stop_on_plateau,0.062272846354951915,9,7,26.354124886648993,7,25,0,1.1529929637908936,0.1,16
119,hyperband,0.05322791555544613,9,17,6.293193982995074,69,25,0,2.713939905166626,0.1,16
120,stop_on_plateau,0.06108439259347112,27,13,37.18764378474309,13,25,0,3.021496057510376,0.1,16
121,hyperband,0.05710217640672866,27,49,2.441945116059119,357,25,0,5.448590040206909,0.1,16
122,stop_on_plateau,0.05867932142591345,81,19,33.98458982768811,19,25,0,4.035670042037964,0.1,16
123,hyperband,0.11215511800805965,81,143,1.6276634018455856,1581,25,0,16.083348989486694,0.1,16
124,stop_on_plateau,0.06929078903503666,243,19,34.55358204088713,19,25,0,4.103237867355347,0.1,16
125,hyperband,0.2778378531530587,243,143,1.4664161242992346,4743,25,0,43.470072984695435,0.1,16
126,stop_on_plateau,0.04989403993754153,9,7,40.82602092197963,7,25,0,1.1907589435577393,0.1,24
127,hyperband,0.05615764116369776,9,17,8.997857466987941,69,25,0,2.586884021759033,0.1,24
128,stop_on_plateau,0.08117381257525483,27,13,55.173031733586235,13,25,0,2.988539218902588,0.1,24
129,hyperband,0.055286547162227605,27,49,3.354738059164095,357,25,0,4.990172863006592,0.1,24
130,stop_on_plateau,0.05505688696509967,81,19,40.71394067061574,19,25,0,3.22318696975708,0.1,24
131,hyperband,0.08875614255838377,81,143,2.0534939195897137,1581,25,0,13.527391195297241,0.1,24
132,stop_on_plateau,0.07384698096347853,243,19,38.50888402838456,19,25,0,3.0486199855804443,0.1,24
133,hyperband,0.2519583338812734,243,143,1.7855621907320451,4743,25,0,35.28717279434204,0.1,24
134,stop_on_plateau,0.05366528886481249,9,7,53.89893668038504,7,25,0,1.1790392398834229,0.1,32
135,hyperband,0.05748452168646122,9,17,12.240955518639606,69,25,0,2.639456033706665,0.1,32
136,stop_on_plateau,0.053206108343663364,27,13,72.37179095928485,13,25,0,2.9401040077209473,0.1,32
137,hyperband,0.051936681552155695,27,49,4.465133923442424,357,25,0,4.981415033340454,0.1,32
138,stop_on_plateau,0.054364062802192095,81,19,52.10290607653166,19,25,0,3.0936100482940674,0.1,32
139,hyperband,0.13359876863757236,81,143,2.552962861130465,1581,25,0,12.613232135772705,0.1,32
140,stop_on_plateau,0.05203479857927356,243,19,52.09616811651932,19,25,0,3.093209981918335,0.1,32
141,hyperband,0.3930049970758528,243,143,2.3029686905476656,4743,25,0,34.13431406021118,0.1,32
142,stop_on_plateau,0.054723351705796286,9,7,68.84685243879045,7,25,0,1.204819917678833,0.1,40
143,hyperband,0.04871247159169783,9,17,15.343234850012736,69,25,0,2.6467080116271973,0.1,40
144,stop_on_plateau,0.06002513863561821,27,13,96.10326473529521,13,25,0,3.1233561038970947,0.1,40
145,hyperband,0.05681497842764034,27,49,5.572012359020756,357,25,0,4.973021030426025,0.1,40
146,stop_on_plateau,0.056577818077840764,81,19,66.15313479774876,19,25,0,3.1422739028930664,0.1,40
147,hyperband,0.07342473989880499,81,143,3.0671779601201457,1581,25,0,12.123020887374878,0.1,40
148,stop_on_plateau,0.07303219742476674,243,19,65.84012884842721,19,25,0,3.127406120300293,0.1,40
149,hyperband,0.26173144755573924,243,143,2.7691657548711794,4743,25,0,32.83538293838501,0.1,40
150,stop_on_plateau,0.059274880414530544,9,7,83.81209782191684,7,25,0,1.222259759902954,0.1,48
151,hyperband,0.04256626895056668,9,17,17.808521104895547,69,25,0,2.5599749088287354,0.1,48
152,stop_on_plateau,0.04970009324893297,27,13,122.66348912165715,13,25,0,3.322136163711548,0.1,48
153,hyperband,0.05364918064826374,27,49,6.41561011306378,357,25,0,4.7716100215911865,0.1,48
154,stop_on_plateau,0.04760514069706432,81,19,84.34322156404193,19,25,0,3.33858585357666,0.1,48
155,hyperband,0.1600044877245479,81,143,3.559399483552241,1581,25,0,11.723772048950195,0.1,48
156,stop_on_plateau,0.06778197405999065,243,19,83.79100197239924,19,25,0,3.3167271614074707,0.1,48
157,hyperband,0.410291296985167,243,143,3.203144326834344,4743,25,0,31.65106987953186,0.1,48
158,stop_on_plateau,0.0438467135964235,9,7,99.00169372558594,7,25,0,1.2375211715698242,0.1,56
159,hyperband,0.05456079997611636,9,17,20.96234197201936,69,25,0,2.582859992980957,0.1,56
160,stop_on_plateau,0.05022572161320029,27,13,133.18880374615009,13,25,0,3.0918829441070557,0.1,56
161,hyperband,0.053536014190844125,27,49,7.271998162363089,357,25,0,4.63589882850647,0.1,56
162,stop_on_plateau,0.049035292583160944,81,19,90.0172946327611,19,25,0,3.0541582107543945,0.1,56
163,hyperband,0.1292885006476398,81,143,4.233645403558585,1581,25,0,11.95248818397522,0.1,56
164,stop_on_plateau,0.06986702802437679,243,19,91.75137268869499,19,25,0,3.112993001937866,0.1,56
165,hyperband,0.26255714311268696,243,143,3.742456269269248,4743,25,0,31.69726800918579,0.1,56
166,stop_on_plateau,0.050488781689688664,9,7,111.51177542550222,7,25,0,1.2196600437164307,0.1,64
167,hyperband,0.04862906499846175,9,17,24.01332025942595,69,25,0,2.5889360904693604,0.1,64
168,stop_on_plateau,0.055296014368107424,27,13,153.2445584810697,13,25,0,3.1127800941467285,0.1,64
169,hyperband,0.08073550112061872,27,49,8.605292397720806,357,25,0,4.800139665603638,0.1,64
170,stop_on_plateau,0.07545265590284425,81,19,105.54758975380345,19,25,0,3.13344407081604,0.1,64
171,hyperband,0.14029232398629646,81,143,4.849233126655399,1581,25,0,11.979121208190918,0.1,64
172,stop_on_plateau,0.0835086770021463,243,19,105.5680365311472,19,25,0,3.1340510845184326,0.1,64
173,hyperband,0.2881166480114186,243,143,4.231022982162035,4743,25,0,31.355846881866455,0.1,64
174,stop_on_plateau,0.036212135830687345,9,7,14.630023411342075,7,25,1,1.2801270484924316,0.1,8
175,hyperband,0.05123764524376064,9,17,3.4505808180656983,69,25,1,2.976125955581665,0.1,8
176,stop_on_plateau,0.06095440683072528,27,13,32.98781468318059,13,25,1,5.360519886016846,0.1,8
177,hyperband,0.07724378386060651,27,49,1.7164933982015655,357,25,1,7.659851789474487,0.1,8
178,stop_on_plateau,0.07048920049219395,81,19,30.19407171952097,19,25,1,7.1710920333862305,0.1,8
179,hyperband,0.09722203945051802,81,143,1.3823642284337814,1581,25,1,27.318973064422607,0.1,8
180,stop_on_plateau,0.05122154456195768,243,19,30.62386964496813,19,25,1,7.273169040679932,0.1,8
181,hyperband,0.3598265701742079,243,143,1.3485347684264661,4743,25,1,79.9512550830841,0.1,8
182,stop_on_plateau,0.05142808247043222,9,7,28.069234575544083,7,25,1,1.2280290126800537,0.1,16
183,hyperband,0.049054710652741335,9,17,6.51439777318982,69,25,1,2.8093340396881104,0.1,16
184,stop_on_plateau,0.05925849754606432,27,13,39.67122591458834,13,25,1,3.2232871055603027,0.1,16
185,hyperband,0.07179201251399114,27,49,2.4515007724281115,357,25,1,5.469911098480225,0.1,16
186,stop_on_plateau,0.08938796082995173,81,19,35.080909729003906,19,25,1,4.165858030319214,0.1,16
187,hyperband,0.12185342501292967,81,143,1.671384103233342,1581,25,1,16.515364170074463,0.1,16
188,stop_on_plateau,0.07613254027915238,243,19,35.278527109246504,19,25,1,4.1893250942230225,0.1,16
189,hyperband,0.31867017287177096,243,143,1.5305241748247622,4743,25,1,45.37047600746155,0.1,16
190,stop_on_plateau,0.04522735732256437,9,7,42.56996972220284,7,25,1,1.241624116897583,0.1,24
191,hyperband,0.05248804161261227,9,17,9.460201263427733,69,25,1,2.7198078632354736,0.1,24
192,stop_on_plateau,0.06521468036504748,27,13,56.773958939772385,13,25,1,3.075256109237671,0.1,24
193,hyperband,0.06253544512828597,27,49,3.4854178869423746,357,25,1,5.184559106826782,0.1,24
194,stop_on_plateau,0.07496818190231472,81,19,39.89016181544253,19,25,1,3.157971143722534,0.1,24
195,hyperband,0.13253358285397693,81,143,2.135367131097493,1581,25,1,14.066730976104736,0.1,24
196,stop_on_plateau,0.05900958038810183,243,19,40.14096209877415,19,25,1,3.177826166152954,0.1,24
197,hyperband,0.35078259045022653,243,143,1.9487525872381937,4743,25,1,38.5122230052948,0.1,24
198,stop_on_plateau,0.05037185716464758,9,7,55.54947989327567,7,25,1,1.2151448726654053,0.1,32
199,hyperband,0.049987953107764604,9,17,11.996722014054008,69,25,1,2.5867931842803955,0.1,32
200,stop_on_plateau,0.05807753536736179,27,13,83.71424161470853,13,25,1,3.400891065597534,0.1,32
201,hyperband,0.061592516821601426,27,49,4.515397956057423,357,25,1,5.0374908447265625,0.1,32
202,stop_on_plateau,0.05673759569068587,81,19,55.974213449578535,19,25,1,3.3234689235687256,0.1,32
203,hyperband,0.20199464924773475,81,143,2.5508938523352254,1581,25,1,12.603009939193726,0.1,32
204,stop_on_plateau,0.048799598812455464,243,19,52.16837431255139,19,25,1,3.0974972248077393,0.1,32
205,hyperband,0.30781391727142904,243,143,2.265763545172038,4743,25,1,33.5828640460968,0.1,32
206,stop_on_plateau,0.05532927056282891,9,7,70.75154440743582,7,25,1,1.238152027130127,0.1,40
207,hyperband,0.04136226000187565,9,17,16.42229660697605,69,25,1,2.832846164703369,0.1,40
208,stop_on_plateau,0.042439582955732344,27,13,94.87920174231895,13,25,1,3.083574056625366,0.1,40
209,hyperband,0.05503794903851336,27,49,5.46533760904264,357,25,1,4.877813816070557,0.1,40
210,stop_on_plateau,0.06641583265928593,81,19,65.58095028525905,19,25,1,3.1150951385498047,0.1,40
211,hyperband,0.09201117171527175,81,143,3.1093085890401393,1581,25,1,12.289542198181152,0.1,40
212,stop_on_plateau,0.06607733138399281,243,19,66.00117432443719,19,25,1,3.1350557804107666,0.1,40
213,hyperband,0.29981184276467626,243,143,2.784633354976814,4743,25,1,33.01879000663757,0.1,40
214,stop_on_plateau,0.044881158920493804,9,7,83.67532457624162,7,25,1,1.2202651500701904,0.1,48
215,hyperband,0.04067946592920857,9,17,18.364292642344598,69,25,1,2.639867067337036,0.1,48
216,stop_on_plateau,0.06555506281997295,27,13,114.18424459604117,13,25,1,3.0924899578094482,0.1,48
217,hyperband,0.04976396950341143,27,49,6.381433310628939,357,25,1,4.746191024780273,0.1,48
218,stop_on_plateau,0.06427718733371314,81,19,78.11488904451068,19,25,1,3.092047691345215,0.1,48
219,hyperband,0.12481168478880514,81,143,3.5653842151504307,1581,25,1,11.743484258651733,0.1,48
220,stop_on_plateau,0.050566333194698956,243,19,78.99974019903884,19,25,1,3.127073049545288,0.1,48
221,hyperband,0.26538060680741954,243,143,3.267667433794807,4743,25,1,32.28863883018494,0.1,48
222,stop_on_plateau,0.04274903034431209,9,7,96.86201095581055,7,25,1,1.2107751369476318,0.1,56
223,hyperband,0.04873837076304986,9,17,20.81728534422059,69,25,1,2.5649869441986084,0.1,56
224,stop_on_plateau,0.07693344005880973,27,13,133.93903145423303,13,25,1,3.1092989444732666,0.1,56
225,hyperband,0.04710406943039588,27,49,7.890575633329503,357,25,1,5.030241966247559,0.1,56
226,stop_on_plateau,0.07153684544498787,81,19,98.73536360891241,19,25,1,3.349949836730957,0.1,56
227,hyperband,0.11331057455917429,81,143,4.098592585660776,1581,25,1,11.571205139160156,0.1,56
228,stop_on_plateau,0.0694295681751981,243,19,92.01490201448138,19,25,1,3.121934175491333,0.1,56
229,hyperband,0.25894619511367467,243,143,3.681975426413504,4743,25,1,31.185016870498657,0.1,56
230,stop_on_plateau,0.050671319573729647,9,7,112.09134783063615,7,25,1,1.225999116897583,0.1,64
231,hyperband,0.045120818141528365,9,17,25.311146611752715,69,25,1,2.72885799407959,0.1,64
232,stop_on_plateau,0.06991566653564188,27,13,151.21166522686298,13,25,1,3.0714869499206543,0.1,64
233,hyperband,0.04585497158028482,27,49,9.058536561597295,357,25,1,5.052964925765991,0.1,64
234,stop_on_plateau,0.08144489522625253,81,19,113.74767102693255,19,25,1,3.3768839836120605,0.1,64
235,hyperband,0.09871970419356062,81,143,4.621034799535993,1581,25,1,11.41540002822876,0.1,64
236,stop_on_plateau,0.04953749789461143,243,19,107.41817273591694,19,25,1,3.188977003097534,0.1,64
237,hyperband,0.27242943901526295,243,143,4.167127550942672,4743,25,1,30.88232183456421,0.1,64
238,stop_on_plateau,0.041689700856024046,9,7,15.762664249965121,7,25,2,1.3792331218719482,0.1,8
239,hyperband,0.048742510693211026,9,17,3.7340382562167402,69,25,2,3.2206079959869385,0.1,8
240,stop_on_plateau,0.0556123841816316,27,13,32.02902720524715,13,25,2,5.204716920852661,0.1,8
241,hyperband,0.0698060440412733,27,49,1.7212764088179215,357,25,2,7.681195974349976,0.1,8
242,stop_on_plateau,0.0632136510044754,81,19,31.157321929931637,19,25,2,7.399863958358765,0.1,8
243,hyperband,0.1519387179108103,81,143,1.147809230700691,1581,25,2,22.683579921722412,0.1,8
